,Unnamed: 0,Innings,Player_name,Over_start_number,Runs_Scored,Balls_faced,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner
38107,4758,1,A Gbla,35.2,2,7,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38108,4759,1,I Komba,36.6,10,31,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38109,4760,2,R Mosweu,0.1,0,1,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38110,4761,2,K Motlanka,0.3,53,102,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38111,4762,2,Z Abbasi,0.1,15,22,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38112,4763,2,K Modise,5.5,9,20,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38113,4764,2,JWN Moses,13.2,7,22,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38114,4765,2,R Nehonde,18.6,8,22,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38115,4766,2,T Perera,24.1,9,36,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38116,4767,2,N Master,35.3,10,21,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38117,4768,2,T Tshose,40.3,4,13,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38118,4769,2,D Maisuria,44.2,1,2,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38119,4770,2,M Mooketsi,-1.0,0,0,Botswana,Sierra Leone,Willowmoore Park B Field,Sierra Leone,bat,Botswana
38120,853,1,N Dickwella,0.1,73,83,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38121,854,1,MD Gunathilaka,0.1,13,20,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38122,855,1,BKG Mendis,5.2,27,29,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38123,856,1,LD Chandimal,14.6,0,1,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38124,857,1,AD Mathews,15.2,39,53,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38125,858,1,DM de Silva,31.3,1,6,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38126,859,1,DAS Gunaratne,32.4,27,44,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38127,860,1,NLTC Perera,33.2,1,4,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38128,861,1,RAS Lakmal,35.1,26,33,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38129,862,1,SL Malinga,44.5,9,14,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38130,863,1,N Pradeep,48.2,1,3,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38131,864,2,Azhar Ali,0.1,34,49,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38132,865,2,Fakhar Zaman,0.1,50,35,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38133,866,2,Babar Azam,11.3,10,18,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38134,867,2,Mohammad Hafeez,15.6,1,5,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38135,868,2,Shoaib Malik,16.6,11,20,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38136,869,2,Sarfraz Ahmed,19.3,61,79,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38137,870,2,Imad Wasim,24.6,4,3,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38138,871,2,Fahim Ashraf,25.5,15,14,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38139,872,2,Mohammad Amir,29.6,28,42,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38140,873,2,Junaid Khan,-1.0,0,0,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38141,874,2,Hasan Ali,-1.0,0,0,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan
38142,4196,1,HK Matthews,0.1,4,9,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38143,4197,1,R Boyce,0.1,4,18,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38144,4198,1,SR Taylor,2.4,4,10,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38145,4199,1,CN Nation,5.1,26,53,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38146,4200,1,Kyshona A Knight,7.2,0,1,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38147,4201,1,DJS Dottin,7.3,0,3,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38148,4202,1,MR Aguilleira,7.6,3,38,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38149,4203,1,SF Daley,20.1,0,3,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38150,4204,1,ASS Fletcher,21.4,0,5,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38151,4205,1,A Mohammed,22.4,4,9,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38152,4206,1,Q Joseph,23.6,0,3,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38153,4207,2,L Wolvaardt,0.1,19,22,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38154,4208,2,L Lee,0.1,29,16,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38155,4209,2,S Ismail,-1.0,0,0,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38156,4210,2,M Kapp,-1.0,0,0,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38157,4211,2,A Khaka,-1.0,0,0,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38158,4212,2,M Daniels,-1.0,0,0,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38159,4213,2,D van Niekerk,-1.0,0,0,South Africa,West Indies,Grace Road,South Africa,field,South Africa
38160,4771,1,Jitin Singh,0.1,23,38,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38161,4772,1,KD Kamania,0.1,5,24,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38162,4773,1,AR Patwa,7.5,2,9,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38163,4774,1,HH Abdallah,11.5,28,96,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38164,4775,1,KN Mussa,12.2,23,52,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38165,4776,1,SJ Ally,28.5,0,1,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38166,4777,1,HA Chohan,28.6,13,16,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38167,4778,1,RK Kiseto,34.5,2,7,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38168,4779,1,A Dagar,37.5,13,24,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38169,4780,1,N Mapunda,43.4,5,14,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38170,4781,1,AA Premji,45.5,6,17,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38171,4782,2,F Baleri,0.1,46,90,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38172,4783,2,S Ateak,0.1,31,43,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38173,4784,2,DNA Ankrah,15.5,17,22,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38174,4785,2,SK Awiah,23.6,20,46,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38175,4786,2,V Ateak,29.1,4,6,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38176,4787,2,JH Mensah,31.5,10,16,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38177,4788,2,IKO Aboagye,36.5,0,2,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38178,4789,2,G Bakiweyem,-1.0,0,0,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38179,4790,2,KS Bagabena,-1.0,0,0,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38180,4791,2,M Aboagye,-1.0,0,0,Ghana,Tanzania,Willowmoore Park C Field,Ghana,field,Ghana
38181,5119,1,L Tshuma,0.1,0,8,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38182,5120,1,CS Mugeri,0.1,34,58,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38183,5121,1,P Marange,1.5,10,12,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38184,5122,1,M Mupachikwa,4.5,12,21,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38185,5123,1,AC Mushangwe,14.3,2,25,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38186,5124,1,SM Mayers,21.2,0,14,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38187,5125,1,P Mujaji,22.2,0,2,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
